"season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"winter","small","high",7.44,10.1,2.933,0.77,15,1.333,6,0.6,55.5,0,1.7,1.4,0,0,0
"spring","small","high",7.14,9.8,3.275,0.923,15,1.25,10.75,2.5,10.3,0,42.8,2.2,0,0,0
"summer","small","high",7,12.1,3.136,1.208,16.2,1.8,2.5,0.5,64.2,0,3,0,0,0,0
"winter","small","medium",7.5,1.5,32.4,0.921,1386.25,220.75,351.60001,10,0,0,1.5,7.6,0,0,6.1
"spring","small","medium",7.5,1.8,29.775,1.051,2082.8501,209.85699,313.60001,1,1.9,4.9,2.6,3,0,0,1.9
"summer","small","medium",7.8,7.1,32.54,1.72,2167.37012,151.125,279.06601,13.1,25.5,3.9,1,11,0,0,12.5
"autumn","medium","medium",8.5,8.1,38.125,3.85,225,45,152.33299,5.2,11.3,1.7,2,2.2,13.3,10.6,0
"summer","medium","medium",7.925,10.2,34.037,9.08,109,55,58.623,11.6,4.4,4,3.3,0,11.7,21.4,1.2
"winter","medium","medium",8.1,8.1,136,3.773,245,136.75,249.25,20.87,1.9,5.8,24.8,4.6,9.5,5.1,1.2
"spring","medium","medium",8.2,6.8,129.375,3.316,271.25,100,233.5,13,1.6,8,17.6,3.7,11.5,7,0
"spring","medium","high",9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37,2.2,9.6,5,1,8.6,7.9,2.2
"autumn","medium","medium",8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6,64.9,1,0,1,2.9,1.4,1
"winter","medium","medium",8,5.9,27.4,0.735,133.636,36,105.727,3,15.1,7.3,23.2,3.4,4.1,0,0
"spring","medium","medium",8,3.3,26.76,0.658,165,37.375,111.375,3,14.4,0,11.8,11.3,5.5,0,0
"winter","medium","high",7.5,9.2,11,3.31,101,26.6,108,1.3,6.7,0,5.4,3.4,4.9,6.9,10.8
"spring","medium","high",7.4,9.8,11,3.235,255,38.75,56.667,2,10.8,0,0,4.6,6.5,2.2,1.4
"autumn","medium","high",7.3,11.7,10.4,4.93,130,10.8,60,4.3,1.2,0,1.7,0,7.5,17.7,14.4
"winter","medium","high",7.4,8.9,13.5,5.442,123.333,27.667,104,21,12.6,4.3,21.9,1,2.4,3.3,22.1
"summer","medium","high",7.4,11.17,12.146,6.188,89.6,32,69.93,3.1,14.7,4.1,1,0,7.7,8.5,31.2
"autumn","medium","medium",7.5,10.8,31,4.408,737.5,111.25,214,2.9,3.3,0,0,5,1.9,6.2,25.6
"winter","medium","medium",7.6,6,53,3.734,914,137.60001,254.60001,4.3,0,0,0,4.6,9,13.1,30.1
"summer","medium","medium",7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2,2.8,0,0,2.6,5.2,13.2,16.7
"winter","medium","medium",7.8,3.6,48.667,4.03,5738.33008,412.33301,607.16699,4.3,0,0,2.6,2.4,5,0,2.4
"summer","medium","medium",7.6,9.7,53.102,7.16,4073.33008,282.16699,624.73297,6.8,0,0,0,1,35.6,9.9,0
"winter","medium","medium",8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40,0,15.2,8.8,0,8.6,5.1,2.7
"spring","medium","medium",8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5,0,5.5,3.3,0,20.8,12.4,0
"summer","medium","medium",8.1,10.7,94.405,4.698,153,191.75,265.25,7.3,0,2.1,1.6,0,20.8,32.9,0
"winter","medium","high",8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31,1.2,5.6,6.3,1.7,1.2,0,1
"spring","medium","high",7.8,10.5,70,2.443,98.333,144.66701,244,9,0,3.1,3.5,1.6,8.2,9.9,0
"summer","medium","high",7.9,11.8,63.51,4.94,137,159.5,218,6.5,0,5.2,0,0,28.8,20.4,1
"autumn","medium","low",8.5,10.5,56.717,0.33,215.714,23,138.5,20.829,5.7,0,0,4.4,12.4,8.3,7.8
"winter","medium","low",9.1,5.4,61.05,0.308,105.556,104.222,239,72.478,3.6,31.9,2.4,0,0,0,2.2
"spring","medium","low",8.9,4.5,57.75,0.267,155,97.333,235.66701,98.817,1.2,16.2,0,0,0,0,1
"winter","medium","high",7.9,6.3,101.875,3.978,153.75,51.75,205.875,2,4,2.1,35.1,6.8,7.3,0,0
"summer","medium","high",7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9,5.9,3.4,1,1.2,17.8,49.4,1
"winter","medium","medium",7.7,7.1,63.625,3.14,122.5,28.625,186.5,30,16.5,2.1,19.5,3.5,5.3,1.2,3.2
"spring","medium","medium",7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2,7,0,13.5,4.3,8.7,0,4.3
"winter","medium","low",7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2,58.7,0,11.5,6.6,0,0,0
"summer","medium","low",7.5,8.8,58.331,8.688,758.75,104.5,292.625,3,8.7,0,3,5.3,9.4,33.2,0
"autumn","medium","low",7.6,10,49.625,5.456,308.75,38.625,285.71399,75,17,21.6,1.6,1.4,10.2,3.6,1.1
"winter","medium","low",8.7,7.4,47.778,2.316,38.111,24.667,201.778,3,12.3,5.4,1.9,0,1.4,0,1.9
"summer","medium","low",7.7,11.1,47.229,8.759,239,54,275.14301,65.7,8.8,19.6,4.7,0,0,0,2.7
"autumn","medium","high",8.3,11.1,41.5,4.665,931.83301,39,124.2,13.1,23.7,13.7,0,1.7,6.4,2.6,0
"winter","medium","high",8.43,6,40.167,2.67,723.66699,60.833,141.83299,25,0,6.4,7.3,12.7,0,0,4.2
"summer","medium","high",8.16,11.1,32.056,5.694,461.875,71,132.54601,15,3.6,38.8,0,0,1.2,0,2.4
"winter","medium","high",8.7,9.8,5.889,1.534,51.111,9.667,17.333,1,64.3,1.5,8,0,0,0,0
"spring","medium","high",8.2,11.3,7.25,1.875,25,6.5,26,0.3,46.6,0,2.5,0,0,0,0
"summer","medium","high",8.5,11.8,7.838,1.732,206.53799,8.692,16.662,2.1,24,0,1,0,0,0,0
"spring","medium","medium",7.8,6,53.425,0.381,118.571,37.857,102.571,1.2,3.7,1.4,1.1,2.1,3.2,6.4,0
"summer","medium","medium",8,9.7,57.848,0.461,217.75,37,86.997,3,18.1,14.5,0,0,11.5,22.3,0
"winter","medium","high",9.7,10.8,0.222,0.406,10,22.444,10.111,NA,41,1.5,0,0,0,0,0
"summer","medium","high",8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4,43.7,0,1.2,0,0,4.7,0
"autumn","medium","medium",8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2,86.6,0,0,0,0,0,0
"spring","medium","low",8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.917,1.9,12.7,25.9,0,0,0,6.8
"summer","medium","low",8.2,6.6,131.39999,4.188,92,238.2,320.39999,6.8,1.2,1.9,22.9,0,8.1,0,0
"winter","medium","medium",8.2,9.4,45.273,7.195,345.45499,144,287,9.882,1.4,18.4,0,0,20,29.5,0
"spring","medium","medium",8.1,7.1,42.636,5.078,56.364,166.72701,262.72699,17.2,1.6,8.9,6.6,0,9.2,1.6,1.4
"summer","medium","medium",8.1,9,48.429,6.64,128.571,181,222.286,6.429,3.3,11.6,7,0,17.9,4.7,0
"winter","medium","high",7.4,10.7,11.818,2.163,170.909,36.909,122,5.555,14.6,0,0,1.9,22.1,12.7,1.4
"spring","medium","high",8.3,9.7,10.556,1.921,65.556,61.556,127.222,5.233,1.7,0,10.3,2.6,8.9,6.7,0
"summer","medium","high",8.6,10.7,12,2.231,43.75,62.625,89.625,2.15,3.3,0,0,1.9,34.3,7.1,6
"winter","medium","medium",9.1,11.6,31.091,5.099,246.364,55,284,88.255,0,36.6,4.1,0,1.2,16.7,6.1
"spring","medium","medium",9,6.9,28.333,2.954,76.667,102.333,277.33301,110.456,0,16.4,10.1,0,0,0,6.6
"summer","medium","medium",8.3,10,30.125,3.726,102.5,75.875,177.625,50.225,1.5,32.8,1,4.1,0,15.8,2.4
"winter","medium","high",8.5,10.1,10.936,1.335,236,34.636,72.9,11.1,4.2,0,1.4,1.9,16.2,0,1.4
"spring","medium","high",8.3,7.7,10.078,1.212,103.333,48.667,82.444,2,4.1,0,25.3,2.1,8,0,18.6
"summer","medium","high",7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3,1.2,0,2.3,0,44.4,7.5,1.9
"winter","medium","medium",7.9,9.8,194.75,6.513,3466.65991,23,173.75,15.3,0,0,1,0,9,64.6,0
"spring","medium","medium",7.9,8.3,391.5,6.045,380,173,317,5.5,2.4,1.7,4.2,8.3,1.7,0,2.4
"autumn","medium","medium",8,11.9,130.67,6.54,196,75,84,4.5,7.8,8.7,2.1,0,14.9,22.9,2.4
"spring","medium","medium",8,9.2,39,4.86,120,187,213,2,10.3,26.5,6.1,0,5.6,1.5,2.2
"autumn","medium","medium",8.1,11.7,35.66,5.13,46.5,49,88.5,2.5,1.5,72.6,0,0,3.4,6.8,3.4
"winter","medium","low",8.43,9.9,37.6,0.826,124,32.5,115,11.7,9.2,2.9,2,1.3,2.5,0,0
"summer","medium","low",8.1,6.2,39,0.673,112.857,60,98.143,2,28.1,0,0,4,1.2,0,0
"winter","medium","medium",7.9,11.2,49.9,9.773,505,67.5,143.75,5.45,2.1,2.6,0,0,15,15.7,0
"summer","medium","medium",8.1,6.2,51.113,5.099,175,132.5,197.14301,6.4,1.4,15.7,1.4,0,3.5,0,1.6
"spring","medium","high",7.8,9.5,8.3,1.67,34,16.8,35.2,1,19,0,22,5,1.1,5.4,0
"autumn","medium","high",7.9,10.5,10.207,2.304,132.25,10.583,23.485,2,42.5,0,2.2,1,0,0,0
"winter","medium","low",8,4.5,79.077,8.984,920,70,200.231,19.4,2.5,1.4,1.4,6.2,4.1,1.8,3.9
"spring","medium","low",7.6,6.3,81.333,9.715,196.66701,77.333,147.83299,3,4.4,11.2,6.8,0,1,0,31.6
"autumn","medium","low",7.8,6.5,64.093,7.74,1990.16003,47.5,276,8.1,6.5,4.1,0,7.7,9.9,18.2,7
"winter","medium","high",8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4,39.7,12.7,0,1.1,2.7,0,1.6
"autumn","medium","high",8.3,9.9,40.226,1.587,235,33.8,75.207,23.8,32.8,28,2,3.5,1,0,1.5
"winter","medium","high",8.47,9,46.167,2.102,84.667,48,116.2,7.3,12.2,16,1,1.4,1.9,1.2,0
"spring","medium","high",8.4,4.9,47,0.536,91.833,109,188.66701,32,1.9,25.4,21.7,0,0,1,0
"autumn","medium","high",8.87,11,41.163,2.273,54.75,39,72.696,22.7,0,5.6,1.2,0,8,2.7,0
"summer","medium","high",7.7,4.4,53,2.31,90,22.2,116.2,16,0,0,0,1.2,5.7,32.1,0
"autumn","medium","high",7.3,11.8,44.205,45.65,24064,44,34,53.1,2.2,0,0,1.2,5.9,77.6,0
"spring","medium","medium",7.9,6,127.833,2.68,176.66701,27.5,76.333,2.1,3.4,21.5,14,1.8,3.9,0,0
"autumn","medium","medium",7.8,10.53,100.83,5.41,486.5,24,58.374,27.5,2.8,1.9,0,1.2,19,4.5,0
"spring","large","low",7.8,3.2,94,4.908,1131.66003,175.66701,361,28.567,24.8,10.4,0,6.9,0,0,2.7
"summer","large","low",7.6,4.9,69,3.685,1495,234.5,236,22.5,32.5,12,0,5,0,0,1.9
"spring","large","low",8.6,3.6,50,0.376,134,54.1,125.8,26.8,0,28,0,0,0,0,15.1
"autumn","large","low",8.4,10.6,19.22,1.655,96.833,20.667,54.916,20.6,0,11.3,1.8,0,2.5,0,1.4
"winter","large","low",8.3,11.5,26,1.87,62.5,30.75,75.333,34.75,0,20.1,0,0,0,0,0
"spring","large","low",9,5.8,NA,0.9,142,102,186,68.05,1.7,20.6,1.5,2.2,0,0,0
"spring","large","low",9.5,5.7,44,0.102,146.66701,151.33299,252.5,93.683,12.3,21.7,3.9,0,0,0,3.9
"summer","large","low",8.8,8.8,43,0.13,103.333,180.66701,269.66699,92.667,7.2,28.2,0,0,0,0,3.3
"autumn","large","low",8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54,3.4,21.5,0,0,0,0,2.7
"winter","large","high",7.3,9.9,16,4.82,101.667,14.667,85,2,0,0,0,2.4,0,17.8,3.6
"autumn","large","high",7.4,10.68,22.35,5.414,244.60001,66.4,171.272,3.8,1.1,0,1.4,0,6.6,42.1,5.2
"spring","large","low",9.1,4.3,82.857,0.86,137.27299,102.364,232.89999,54.367,0,6,2.9,0,0,0,2.9
"autumn","large","low",8.53,11.1,63.292,1.726,227.60001,84.3,146.452,21.22,1.4,14.7,2.5,0,0,0,2
"winter","large","low",8.56,8.7,43.97,4.053,643,221.89999,246.66701,14.7,12.5,2.1,0,1.2,6.4,4.5,1.7
"autumn","large","low",8.06,8.3,38.902,3.678,627.27301,205.636,219.909,6.209,0,0,0,0,8.6,52.5,0
"winter","large","medium",8.24,6.1,95.367,3.561,1168,236.39999,272.22198,20.578,2.5,13.2,0,2,7.4,17.2,0
"summer","large","medium",7.91,6.2,151.83299,3.923,1081.66003,346.16699,388.16699,5.083,1.7,12,4.9,2.7,0,5.9,1.7
"winter","large","medium",8.21,9.3,104.818,3.908,124.364,82.222,167.89999,5.609,1.4,4.6,10.8,2.2,5.5,42.4,0
"spring","large","medium",8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384,0,3.8,16,4,0,0,3.3
"spring","large","medium",8.6,10.6,208.364,4.459,197.909,87.333,194.10001,27.618,0,1.2,0,0,11.3,11.5,0
"winter","large","medium",9.06,6.35,187.183,3.351,54.778,159.16701,221.278,20.8,0,21.1,3.7,0,0,0,1.9
"autumn","large","high",8.7,10.7,4.545,0.941,32.727,16,21.3,1.1,39.7,0,12.9,0,0,0,0
"spring","large","high",8.1,10.7,3.5,1.013,12.5,12.75,11,0.6,37.3,9.7,13.6,0,2.2,0,1.2
"summer","large","high",8.4,10.29,5.326,0.996,53.846,7.667,14.354,0.8,52.4,7.5,9.4,0,1.4,1.9,0
"spring","large","medium",8.6,10.1,2.111,0.663,11.111,3.222,7,1.3,48.3,2,0,0,0,0,0
"summer","large","medium",8.2,9.5,2.2,0.672,10,3.8,6.2,0.8,50.4,3.8,0,0,0,0,0
"winter","large","medium",8.5,10.5,2.75,0.758,10.5,4,7.654,4,56.8,5,0,0,0,0,0
"summer","large","medium",8.3,10,3.86,0.866,32,6,16,2.86,17.3,6.7,19.7,0,0,0,0
"winter","large","high",8,10.9,9.055,0.825,40,21.083,56.091,NA,16.8,19.6,4,0,0,0,0
"summer","large","high",8.1,10.2,7.613,0.699,32.5,26.625,52.875,2,18.1,1.7,2,0,1.7,5.9,0
"winter","large","low",8.7,10.8,39.109,6.225,161.81799,104.727,228.364,46.075,1.1,3.9,2.1,0,3.9,4.6,2.3
"winter","large","low",8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491,0,4.7,0,0,2.6,2.6,0
"summer","large","low",8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775,0,12,1.7,0,2.7,0,0
"autumn","large","low",8.55,11,22.32,3.14,82.1,45.9,101.455,18.33,1.7,7,1.2,0,4.8,3.1,0
"spring","large","medium",8.5,7.6,12.778,1.873,17.778,50.889,127,24.556,0,0,10.2,1.7,1.2,0,5.5
"autumn","large","medium",8.7,11.4,15.541,2.323,103,34.5,81.558,5.62,7.6,0,1.2,0,15.9,31.8,5.9
"winter","large","medium",8.4,10.5,12.182,1.519,65.455,19.727,50.455,8.155,2.9,4.6,1,0,6.6,16.6,0
"spring","large","medium",8.2,8.2,7.333,1.003,37.778,19.111,120.889,5.111,2.2,12.7,8.8,0,0,0,1.2
"autumn","large","medium",8.58,11.1,23.825,3.617,72.6,51.111,91.111,22.9,3.8,22,2.9,0,3.1,5.5,0
"summer","large","medium",8.5,7.9,12.444,2.586,96.667,19.111,61.444,6.167,18.9,13.2,5,0,6.1,0,0
"autumn","large","medium",8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338,12.7,21.7,5.6,0,1,0,0
"spring","large","medium",8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667,18,7,1.7,0,4.8,10.3,1
"autumn","large","medium",8.2,7,139.989,2.978,60.11,78.333,140.22,31.738,0,15.9,2.4,1,0,0,0
"winter","large","medium",8,7.6,NA,NA,NA,NA,NA,NA,0,12.5,3.7,1,0,0,4.9
"summer","large","medium",8.5,6.7,82.852,2.8,27.069,64,140.517,18.3,2.4,10.5,9,7.8,0,0,5.8
"summer","small","medium",7.95,5.7,57.333,2.46,273.33301,295.66699,380,NA,1.2,36.5,1.9,0,1.2,0,28
"winter","small","medium",7.98,8.8,59.333,7.392,286.66699,33.333,138,7.1,1.2,0,0,0,23.2,46.4,0
"summer","small","medium",8,7.2,80,1.957,174.286,47.857,113.714,4.5,7,23,6.5,1.4,21.2,0,2.1
"spring","small","high",8.35,8.4,68,3.026,458,45.2,111.8,3.2,1.4,38.2,2.4,0,4.8,1,1.2
"spring","small","medium",8.1,13.2,19,0,130,6,40,2,3.9,55.4,8.4,0,0,0,0
"summer","small","medium",8.37,12.1,12.85,0.84,15,5,10.507,13.8,28.4,2.4,0,0,0,0,4.6
"spring","small","high",7.31,9.9,6,1.395,58.75,6,16,0.8,11.4,1.7,6.1,0,2.2,0,1.9
"autumn","small","high",7.91,11.2,5,1.383,6,24.333,30,32,29.7,2,2,0,2.7,3.7,0
"summer","small","high",7.99,10.7,4,1.368,117,17.25,44.75,0.8,74.3,1.7,1.4,0,1,0,0
"autumn","small","high",7.82,11.5,8.18,1.488,39,16,139.5,0.4,0,0,1.9,2.7,1.9,1.7,5.1
"summer","small","medium",7.9,6,63,1.053,11160.59961,1435,1690,4.5,0,0,0,19.6,0,0,4.6
"autumn","small","medium",8.02,9.4,18.74,1.598,6249.6001,455.79999,690.59998,2,0,0,0,3,4.7,2.5,2
"summer","small","high",6.6,10.8,4,1.18,80,2,59,0.6,62.5,0,0,1.4,0,0,0
"autumn","small","high",6.79,9.4,11.42,1.966,42,3,15,0.6,21.6,0,0,6.5,1,0,0
"summer","small","high",6.78,10.2,10.704,1.46,46,3,13.714,0.7,41.9,0,0,0,0,0,0
"summer","small","high",7.8,10.8,14.568,1.228,61.25,34.5,62,1.1,35.4,0,0,0,1.9,0,1.4
"spring","small","high",8.3,12.7,27,4.04,10,363,482,6,0,2.7,6.1,0,3.4,22.8,0
"spring","small","medium",7.97,2.5,32.125,1.034,7912.5,132.625,164.62,1,10.1,22,5.9,2.2,0,0,2.5
"autumn","small","high",8.2,11.3,6,1.56,10,2,5,NA,83,0,0,0,0,0,0
"summer","small","high",8.2,10.4,3.577,0.788,10.583,1.667,2.088,0.8,30.6,0,0,0,0,0,0
"autumn","small","medium",8.1,6.4,21.2,3.222,44,54.8,155,61.52,19.4,14.7,1.7,1.4,2.1,0,3.3
"summer","small","medium",8.54,12.83,22.545,4,170.5,68,116.069,41.6,19.2,5,0,0,2.4,2.4,0
"autumn","small","medium",8.5,7.8,71,11.02,500,121,NA,7.1,5.7,0,0,4.4,12.4,8.3,7.8
"spring","small","medium",7.7,6.8,65,1.833,782.5,77.25,340,9,0,5.1,3.2,8.1,0,1,5.1
"autumn","small","high",8.4,10.5,50.6,10.494,334,209.10001,276.66699,20.72,2.3,3,0,0,4.6,45.7,0
"summer","small","high",8.5,11.5,57.292,10.526,312.60001,261.39999,299.39999,23.5,0,1.5,0,0,9.8,42.3,0
"summer","small","high",8.1,12.2,66,4.08,10,26,70,1.8,31.8,0,0,0,24.6,10.3,0
"autumn","small","low",6.13,11.23,8.87,0.62,36,3,14.741,2.1,11.9,0,0,0,0,0,0
"winter","small","medium",NA,12.1,18,3.14,10,21,41,4.8,20.4,0,0,1,21.1,14.5,5
"summer","small","medium",7.2,10.4,18,2.42,80,11,44,2.5,7.2,1.1,0,0,1.5,3.7,7
"spring","small","medium",7.9,8.6,27.65,2.063,62.5,7.75,30,NA,57.8,0,12.5,1.2,4.8,0,1.2
"autumn","small","medium",7.8,9.1,36.124,5.974,169,13.091,71.057,3.3,4,0,0,2.6,2.1,3,1.4
"summer","small","high",7.8,9.4,5.714,0.807,22.143,6,18.714,1.5,42.8,0,0,0,0,0,0
"autumn","small","high",7.8,11.35,5.343,1.363,19.75,5.818,8.846,1.9,66.2,0,0,1,0,0,0
