Record,Location,X,Y,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
33,8TH LINE RD btwn VAN RENS ST & GLENWOOD DR,385804.4796,5010250.135,12/5/16,17:24,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
34,8TH LINE RD btwn WALKER RD & SPRINGHILL RD,386451.5076,5008544.113,9/13/16,16:29,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
35,9TH LINE RD @ VICTORIA ST,387131.2902,5012211.109,11/27/16,13:20,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
36,AARON AVE @ CARLING AVE,362119.9364,5025949.91,2/29/16,12:50,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
37,AARON AVE @ CARLING AVE,362120.4596,5025949.535,8/10/16,16:50,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
38,AARON AVE @ LENESTER AVE,362234.865,5025664.285,10/4/16,16:46,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other
39,ABACA WAY btwn KITTIWAKE DR & KITTIWAKE DR,348544.6338,5014092.75,5/26/16,18:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
40,ABBEYHILL DR @ CASTLEFRANK RD,353223.3779,5017261.013,1/5/16,9:26,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
41,ABBEYHILL DR @ EAGLESON RD,353826.9663,5018034.236,12/8/16,19:33,03 - Snow,05 - Packed snow,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement
42,ABBEYHILL DR @ EAGLESON RD,353826.9663,5018034.236,12/8/16,8:27,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
43,ABBEYHILL DR @ EAGLESON RD,353827.4054,5018035.554,2/13/16,8:35,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
44,ABBEYHILL DR @ EAGLESON RD,353827.8912,5018034.19,4/3/16,15:09,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
45,ABBEYHILL DR @ EAGLESON RD,353826.9566,5018034.756,11/21/16,15:20,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle
46,ABBEYHILL DR @ EAGLESON RD,353826.9431,5018034.91,6/28/16,7:03,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other
47,ABBEYHILL DR @ EAGLESON RD,353828.2835,5018033.797,7/15/16,12:11,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement
48,ABBEYHILL DR @ EAGLESON RD,353827.8504,5018033.329,6/2/16,5:27,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,03 - P.D. only,07 - SMV other
49,ABBEYHILL DR @ EAGLESON RD,353827.9499,5018034.167,12/9/16,9:15,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
50,ABBEYHILL DR btwn ALDBURN PL & SHERWOOD ST,353350.0615,5017468.252,3/21/16,15:40,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle
51,ABBEYHILL DR btwn ORIOLE AVE & ALDBURN PL,353279.6302,5017344.106,5/23/16,20:07,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
52,ABBOTT ST @ CARBERY DR,350672.5707,5013713.519,5/28/16,20:16,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,03 - Rear end
53,ABBOTT ST @ IBER RD,351976.9655,5014876.174,3/3/16,8:15,01 - Clear,06 - Ice,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
54,ABBOTT ST @ JONATHAN PACK ST,349857.359,5012982.533,1/23/16,14:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
55,ABBOTT ST @ JONATHAN PACK ST,349857.3565,5012980.301,3/9/16,13:10,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
56,ABBOTT ST @ STITTSVILLE MAIN ST,350249.0435,5013331.187,5/9/16,9:32,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
57,ABBOTT ST @ STITTSVILLE MAIN ST,350248.3376,5013331.028,5/6/16,21:05,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
58,ABERDEEN ST @ PRESTON ST,366651.0228,5029340.891,3/24/16,13:36,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
59,ABERDEEN ST @ PRESTON ST,366651.4752,5029342.66,2/17/16,16:00,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
60,ABERDEEN ST @ PRESTON ST,366652.3711,5029340.886,5/22/16,12:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
61,ABERDEEN ST @ PRESTON ST,366650.597,5029341.782,10/2/16,12:13,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
62,ABERDEEN ST @ PRESTON ST,366652.1681,5029340.853,12/16/16,19:55,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
63,ABERDEEN ST @ PRESTON ST,366651.9142,5029341.782,12/20/16,11:19,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
64,ABERDEEN ST btwn PRESTON ST & ROCHESTER ST,366676.922,5029351.108,8/7/16,10:57,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,01 - Approaching
65,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350502.9254,5023996.488,7/19/16,14:33,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
66,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,350433.3179,5023961.779,6/13/16,18:57,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
67,ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD,365163.4976,5013549.479,4/3/16,3:53,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other
68,ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD,365165.1603,5013549.672,11/4/16,21:54,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
69,ACACIA AVE @ BEECHWOOD AVE,369634.4803,5033942.597,7/4/16,7:14,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
70,ACACIA AVE @ BEECHWOOD AVE,369635.15,5033942.427,12/6/16,14:42,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
71,ACACIA AVE @ ROCKCLIFFE PKWY,368701.5507,5035534.318,5/11/16,16:59,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
72,ACACIA AVE btwn RIDEAU TER & CARSDALE AVE,369553.6307,5034148.584,2/18/16,18:30,01 - Clear,03 - Loose snow,10 - No control,04 - At/near private drive,07 - Dark,03 - P.D. only,05 - Turning movement
73,ACKLAM TER btwn AYTON LANE & AYTON LANE,349671.4789,5023245.551,6/9/16,4:06,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle
74,ADELINE ST @ PRESTON ST,366778.9015,5029050.821,2/17/16,9:52,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
75,ADELINE ST btwn NORFOLK AVE & ROCHESTER ST,366928.3443,5029119.038,12/23/16,12:42,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
76,ADELINE ST btwn PRESTON ST & END,366738.5001,5029039.514,5/12/16,11:55,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
77,ADIRONDACK DR @ WOODROFFE AVE,362457.686,5024005.926,11/8/16,17:08,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end
78,ADIRONDACK DR btwn DOMALATCHY PL & WOODROFFE AVE,362353.0947,5023963.631,3/4/16,21:40,01 - Clear,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
79,ADMIRAL AVE @ SHILLINGTON AVE,365271.4462,5027076.67,1/6/16,12:52,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other
80,AERO DR @ HOLLY ACRES RD,358342.7276,5023227.21,9/27/16,11:20,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
81,AGES DR @ HAWTHORNE RD,374971.5165,5027718.435,2/11/16,13:01,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
82,AGES DR @ HAWTHORNE RD,374971.0753,5027717.314,2/25/16,18:15,03 - Snow,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
83,AGES DR @ HAWTHORNE RD,374972.423,5027717.536,7/27/16,11:31,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
84,AGES DR @ HAWTHORNE RD,374970.913,5027715.465,12/12/16,18:49,03 - Snow,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
85,AGINCOURT RD @ MAITLAND AVE,363446.0124,5025450.527,2/19/16,10:50,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
86,AGINCOURT RD @ MAITLAND AVE,363447.3452,5025449.868,10/23/16,10:33,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
87,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,370593.2595,5020833.022,11/17/16,16:48,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement
88,AIRPORT PARKWAY PRIV btwn Continuation of AIRPORT PARKWAY PRIV & TRACK,370091.4261,5020665.653,11/7/16,16:31,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,03 - Rear end
89,AIRPORT PARKWAY PRIV btwn TO BE DETERMINED & AIR CARGO PRIV (2),370507.3594,5020767.984,10/6/16,15:20,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
90,AIRPORT PKWY @ HUNT CLUB RD,371018.514,5023703.025,4/1/16,22:07,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
91,AIRPORT PKWY @ HUNT CLUB RD,371018.7576,5023703.145,2/25/16,7:41,04 - Freezing Rain,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
92,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023705.069,10/18/16,16:20,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
93,AIRPORT PKWY @ HUNT CLUB RD,371018.7535,5023702.773,5/27/16,12:06,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
94,AIRPORT PKWY @ HUNT CLUB RD,371018.528,5023702.309,2/17/16,6:55,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,03 - Dawn,03 - P.D. only,04 - Sideswipe
95,AIRPORT PKWY @ HUNT CLUB RD,371018.1227,5023702.637,7/22/16,14:15,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
96,AIRPORT PKWY @ HUNT CLUB RD,371019.3562,5023703.412,11/17/16,19:38,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
97,AIRPORT PKWY @ HUNT CLUB RD,371019.3562,5023700.928,12/29/16,13:59,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
98,AIRPORT PKWY @ UPLANDS DR,370859.9013,5021074.898,12/20/16,11:04,01 - Clear,01 - Dry,03 - Yield sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
99,AIRPORT PKWY @ UPLANDS DR,370860.3053,5021073.551,10/22/16,21:58,01 - Clear,02 - Wet,03 - Yield sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
100,AIRPORT PKWY btwn AIRPORT PARKWAY PRIV & RAMP,371152.5902,5021373.989,3/24/16,18:15,04 - Freezing Rain,05 - Packed snow,10 - No control,07 - Overpass or bridge,05 - Dusk,02 - Non-fatal injury,01 - Approaching
101,AIRPORT PKWY btwn AIRPORT PARKWAY PRIV & RAMP,371034.3424,5021255.079,12/11/16,11:48,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
102,AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP,370463.4049,5024529.236,1/3/16,7:26,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,06 - SMV unattended vehicle
103,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP          ,370162.99,5025384.965,9/18/16,22:56,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
104,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP          ,370170.0927,5025374.437,12/23/16,1:15,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,03 - Rear end
105,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP          ,370160.9443,5025381.143,12/8/16,20:01,03 - Snow,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
106,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BRONSON AVE RAMP 24C,368732.5656,5026606.854,9/13/16,22:12,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
107,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BRONSON AVE RAMP 24C,368757.1904,5026535.448,3/2/16,0:02,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,04 - Sideswipe
108,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BRONSON AVE RAMP 24C,368711.454,5026668.503,3/17/16,6:50,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,04 - Sideswipe
109,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BROOKFIELD RAMP 52B,368790.6245,5026442.228,8/12/16,17:07,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
110,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BROOKFIELD RAMP 52B,368795.7406,5026413.892,1/7/16,3:17,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
111,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),370981.4259,5023795.863,2/2/16,17:39,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,03 - Rear end
112,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),371029.0129,5023669.448,4/6/16,16:49,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
113,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),370834.4652,5024041.809,4/12/16,8:46,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
114,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),371021.8875,5023692.92,3/15/16,18:11,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,04 - Sideswipe
115,AIRPORT PKWY btwn RAMP & RAMP (1),368933.9214,5026216.079,2/3/16,8:13,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
116,AIRPORT PKWY btwn RAMP & RAMP (4),371205.0839,5022311.029,1/27/16,11:37,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end
117,AIRPORT PKWY btwn RAMP & RAMP (4),371302.0891,5021632.875,11/1/16,22:01,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,03 - Rear end
118,AIRPORT PKWY btwn RAMP & TO BE DETERMINED,369843.9004,5025771.293,5/24/16,17:32,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
119,AIRPORT PKWY btwn RAMP & TO BE DETERMINED,369955.3838,5025670.86,11/18/16,17:09,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,03 - Rear end
120,AIRPORT PKWY/BROOKFIELD RD @ FLANNERY DR/AIRPORT PKWY RAMPS 52A/53,368693.836,5026295.172,10/22/16,19:18,02 - Rain,02 - Wet,11 - Roundabout,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
121,AIRPORT PKWY/BROOKFIELD RD @ FLANNERY DR/AIRPORT PKWY RAMPS 52A/53,368694.7409,5026294.764,5/24/16,11:29,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
122,AIRPORT PKWY/BROOKFIELD RD @ FLANNERY DR/AIRPORT PKWY RAMPS 52A/53,368694.213,5026295.617,7/12/16,13:07,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
123,AIRPORT PKWY/BROOKFIELD RD @ FLANNERY DR/AIRPORT PKWY RAMPS 52A/53,368695.1156,5026294.532,12/9/16,7:45,01 - Clear,06 - Ice,11 - Roundabout,02 - Intersection related,03 - Dawn,03 - P.D. only,04 - Sideswipe
124,AIRPORT PKWY/WALKLEY RD NB OFF RAMP @ WALKLEY RD,370074.2707,5025794.184,6/7/16,7:45,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
125,AIRPORT PKWY/WALKLEY RD NB OFF RAMP @ WALKLEY RD,370078.3536,5025792.051,11/29/16,6:09,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement
126,ALADDIN LANE @ LESTER RD,372868.961,5022436.276,9/6/16,11:08,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,99 - Other
